gamma,crater_fraction,rms_slope_deg,chi2
30.0,0.14,18.335261606582495,32803100.07748997
30.0,0.15,18.978798834352112,32465835.819131803
30.0,0.16,19.601219151057727,32130315.157802828
30.0,0.17,20.204474237672684,31796538.093831137
30.0,0.18,20.79023247185481,31464504.627549015
30.0,0.19,21.359933362413685,31134214.75929295
30.0,0.2,21.914829231817897,30805668.489403717
30.0,0.21,22.456017618285017,30478865.81822643
30.0,0.22,22.984466804468497,30153806.7461106
30.0,0.23,23.501036175000905,29830491.27341018
30.0,0.24,24.006492628280544,29508919.400483664
30.0,0.25,24.501523938822157,29189091.12769412
30.0,0.26,24.986749735362988,28871006.455409247
30.0,0.27,25.46273059494306,28554665.384001475
30.0,0.28,25.929975633687672,28240067.913847983
30.0,0.29,26.38894888730173,27927214.045330808
30.0,0.3,26.840074709091443,27616103.77883689
30.0,0.31,27.283742364320137,27306737.114758126
30.0,0.32,27.720309962473078,26999114.053491484
30.0,0.33,28.150107840443013,26693234.59543904
30.0,0.34,28.57344148753451,26389098.74100803
30.0,0.35,28.990594085919405,26086706.490610983
30.0,0.36,29.401828726586587,25786057.844665732
30.0,0.37,29.80739035005445,25487152.803595535
30.0,0.38,30.207507452510978,25189991.36782913
30.0,0.39,30.602393591130962,24894573.5378008
30.0,0.4,30.992248716727225,24600899.313950483
30.0,0.41,31.377260357342664,24308968.69672383
30.0,0.42,31.75760467266784,24018781.686572284
30.0,0.43,32.13344739610802,23730338.28395317
30.0,0.44,32.504944678793535,23443638.489329793
30.0,0.45,32.87224384772684,23158682.30317148
30.0,0.46,33.23548408850701,22875469.72595371
30.0,0.47,33.59479706160449,22594000.75815819
30.0,0.48,33.950307459924076,22314275.400272913
30.0,0.49,34.30213351435102,22036293.65279231
30.0,0.5,34.650387453091355,21760055.516217258
30.0,0.51,34.995175919865545,21485560.99105527
30.0,0.52,35.33660035537268,21212810.077820502
30.0,0.53,35.67475734589251,20941802.777033914
30.0,0.54,36.00973894242082,20672539.089223325
30.0,0.55,36.34163295332621,20405019.014923528
30.0,0.56,36.67052321316499,20139242.5546764
30.0,0.57,36.996489829986025,19875209.709030986
30.0,0.58,37.3196094131925,19612920.47854363
30.0,0.59,37.639955283796944,19352374.863778036
30.0,0.6,37.957597668704224,19093572.865305442
30.0,0.61,38.27260388048098,18836514.483704653
30.0,0.62,38.58503848391491,18581199.719562214
30.0,0.63,38.894963450531506,18327628.573472496
30.0,0.64,39.20243830211545,18075801.0460378
30.0,0.65,39.50752024417827,17825717.137868516
30.0,0.66,39.810264290219706,17577376.84958319
30.0,0.67,40.11072337754743,17330780.18180867
30.0,0.68,40.40894847534537,17085927.135180246
30.0,0.69,40.70498868561572,16842817.710341737
30.0,0.7,40.998891337560465,16601451.907945648
30.0,0.71,41.290702075916286,16361829.728653278
30.0,0.72,41.58046494370962,16123951.173134875
30.0,0.73,41.86822245985673,15887816.242069736
30.0,0.74,42.15401569199592,15653424.936146386
30.0,0.75,42.43788432490509,15420777.256062668
30.0,0.76,42.71986672482737,15189873.202525923
30.0,0.77,43.0,14960712.77625311
30.0,0.78,43.27832005765689,14733295.97797095
30.0,0.79,43.554861657752674,14507622.808416098
30.0,0.8,43.829658463635795,14283693.268335257
30.0,0.81,44.10274308987988,14061507.358485358
30.0,0.82,44.374147147465656,13841065.079633705
30.0,0.83,44.64390128649065,13622366.432558129
30.0,0.84,44.912035236570034,13405411.418047149
30.0,0.85,45.17857784507936,13190200.036900153
30.0,0.86,45.443557113378375,12976732.289927533
30.0,0.87,45.70700023114478,12765008.177950881
30.0,0.88,45.96893360893699,12555027.701803146
30.0,0.89,46.22938290909629,12346790.862328801
30.0,0.9,46.488373075090834,12140297.660384057
30.0,0.91,46.74592835939637,11935548.096836992
30.0,0.92,47.00207235000181,11732542.172567777
30.0,0.93,47.25682799562188,11531279.88846884
30.0,0.94,47.51021762969286,11331761.245445067
30.0,0.95,47.76226299322265,11133986.24441399
30.0,0.96,48.01298525656109,10937954.886305984
30.0,0.97,48.26240504015252,10743667.172064474
30.0,0.98,48.51054243432789,10551123.102646137
30.0,0.99,48.75741701819031,10360322.679021098
30.0,1.0,49.00304787764431,10171265.902173152
40.0,0.0,0.0,32812992.187456846
40.0,0.01,4.900304787764432,32481986.224301923
40.0,0.02,6.930077490618269,32152658.842186753
40.0,0.03,8.487576864981019,31825010.04137778
40.0,0.04,9.800609575528863,31499039.822145015
40.0,0.05,10.957414615908949,31174748.18476211
40.0,0.06,12.003246314140272,30852135.12950636
40.0,0.07,12.964987816843836,30531200.65665881
40.0,0.08,13.860154981236539,30211944.766504277
