rotation_phase,corrected_thermal_radiance_W_cm-2_um-1_sr-1,sigma,accepted_frame_count,accepted_2018-11-02,accepted_2018-11-03
0.8902777777777777,0.00011715263698499277,5.857631849249638e-07,94,47,47
0.8930555555555556,0.00011741083609316911,5.870541804658455e-07,60,47,13
0.8958333333333334,0.00011749592044490183,5.874796022245092e-07,51,47,4
0.8986111111111111,0.00011747385221171976,5.873692610585989e-07,56,47,9
0.9013888888888889,0.00011752666079915238,5.876333039957619e-07,47,47,0
0.9041666666666667,0.00011747496082803295,5.873748041401647e-07,47,47,0
0.9069444444444444,0.00011743658026127334,5.871829013063667e-07,47,47,0
0.9097222222222222,0.00011692049212735064,5.846024606367532e-07,86,46,40
0.9125,0.00011677827331631846,5.838913665815923e-07,94,47,47
0.9152777777777777,0.00011668776249498268,5.834388124749134e-07,93,47,46
0.9180555555555555,0.00011665218130690609,5.832609065345305e-07,94,47,47
0.9208333333333333,0.0001168273490721679,5.841367453608395e-07,62,47,15
0.9236111111111112,0.00011683552130681881,5.841776065340941e-07,50,47,3
0.9263888888888889,0.0001166395892172896,5.83197946086448e-07,55,47,8
0.9291666666666667,0.00011665764423173632,5.832882211586816e-07,47,47,0
0.9319444444444445,0.00011651591450980334,5.825795725490167e-07,47,47,0
0.9347222222222222,0.00011636527632442214,5.818263816221107e-07,47,47,0
0.9375,0.00011574974741242974,5.787487370621486e-07,86,47,39
0.9402777777777778,0.000115581204784836,5.7790602392418e-07,93,46,47
0.9430555555555555,0.00011541111032883375,5.770555516441687e-07,93,47,46
0.9458333333333333,0.00011531029704758115,5.765514852379057e-07,94,47,47
0.9486111111111111,0.00011539941264570726,5.769970632285364e-07,62,47,15
0.9513888888888888,0.0001153412114633271,5.767060573166355e-07,50,47,3
0.9541666666666667,0.00011500976888424872,5.750488444212436e-07,55,47,8
0.9569444444444445,0.00011491411487676778,5.74570574383839e-07,47,47,0
0.9597222222222223,0.00011470610184281671,5.735305092140836e-07,47,47,0
0.9625,0.00011447328565622182,5.723664282811092e-07,47,47,0
0.9652777777777778,0.00011376182284500739,5.688091142250369e-07,85,47,38
0.9680555555555556,0.00011345088860880802,5.672544430440401e-07,93,46,47
0.9708333333333333,0.00011319677470871139,5.659838735435569e-07,94,47,47
0.9736111111111111,0.00011304442751623892,5.652221375811946e-07,93,47,46
0.9763888888888889,0.00011308250042426524,5.654125021213262e-07,63,47,16
0.9791666666666666,0.00011301613380590938,5.650806690295469e-07,50,47,3
0.9819444444444444,0.00011263434949908326,5.631717474954163e-07,55,47,8
0.9847222222222223,0.00011241129127346912,5.620564563673456e-07,48,47,1
0.9875,0.00011219601985971365,5.609800992985682e-07,47,47,0
0.9902777777777778,0.0001119448216461498,5.59724108230749e-07,47,47,0
0.9930555555555556,0.00011127722612351446,5.563861306175723e-07,84,47,37
0.9958333333333333,0.00011097816218521154,5.548908109260577e-07,93,46,47
0.9986111111111111,0.00011073889507262231,5.536944753631115e-07,94,47,47
